tweet_id,favorite,retweet
776113305656188928,11200,4061
776088319444877312,1730,142
775898661951791106,0,15638
775842724423557120,11123,2482
775733305207554048,13188,3728
775729183532220416,12355,4316
775364825476165632,6992,2741
775350846108426240,9644,3649
775085132600442880,14751,4411
774757898236878852,8199,1668
774639387460112384,6400,1621
774314403806253056,20687,5127
773985732834758656,10227,3605
773922284943896577,6101,1634
773704687002451968,6277,1507
773670353721753600,5092,1234
773547596996571136,20963,5734
773336787167145985,0,4713
773308824254029826,22169,7009
773247561583001600,8961,3031
773191612633579521,9467,3836
772877495989305348,8100,3601
772826264096874500,7624,2225
772615324260794368,0,3137
772581559778025472,6161,1595
772193107915964416,5714,1300
772152991789019136,3618,1061
772117678702071809,3575,691
772114945936949249,2600,441
772102971039580160,3795,873
771908950375665664,6229,1766
771770456517009408,11390,3164
771500966810099713,7836,2436
771380798096281600,9979,4713
771171053431250945,0,6941
771136648247640064,8677,2730
771102124360998913,5909,1343
771014301343748096,6533,1548
770787852854652928,4653,1112
770772759874076672,4925,1333
770655142660169732,6971,1675
770414278348247044,5992,1941
770293558247038976,5890,1364
770093767776997377,0,2834
770069151037685760,7203,2136
769940425801170949,29504,8900
769695466921623552,6097,1570
769335591808995329,0,7182
769212283578875904,5114,1610
768970937022709760,13513,6045
768909767477751808,0,2466
768855141948723200,3966,831
768609597686943744,3889,1111
768596291618299904,4773,1195
768554158521745409,0,5419
768473857036525572,12866,3179
768193404517830656,10266,3290
767884188863397888,4498,1272
767754930266464257,15114,4997
767500508068192258,7101,2167
767191397493538821,11617,3498
767122157629476866,9616,2670
766793450729734144,4787,1262
766714921925144576,2480,351
766693177336135680,3815,735
766423258543644672,5676,1464
766313316352462849,6390,1745
766078092750233600,0,2442
766069199026450432,3979,786
766008592277377025,3567,464
765719909049503744,6856,2008
765669560888528897,4897,1140
765395769549590528,25313,3134
765371061932261376,6737,2020
765222098633691136,11002,3137
764857477905154048,6127,1656
764259802650378240,5681,1408
763956972077010945,735,50
763837565564780549,11850,3849
763183847194451968,5096,1378
763167063695355904,0,2775
763103485927849985,6986,2143
762699858130116608,11449,3343
762471784394268675,10588,5961
762464539388485633,9711,3877
762316489655476224,4531,1031
762035686371364864,30011,14392
761976711479193600,5091,1847
761750502866649088,0,3611
761745352076779520,4057,800
761672994376806400,46616,26960
761599872357261312,3914,1109
761371037149827077,0,16779
761334018830917632,4869,1351
761292947749015552,4238,1011
761227390836215808,5037,1459
761004547850530816,10726,3238
760893934457552897,3600,900
760656994973933572,6219,1762
760641137271070720,4716,1197
760539183865880579,7130,3367
760521673607086080,3959,1294
760290219849637889,25291,10647
760252756032651264,3738,805
760190180481531904,5396,1664
760153949710192640,0,30
759943073749200896,5585,1940
759846353224826880,6341,1816
759793422261743616,5621,1772
759557299618865152,4428,1114
759447681597108224,8007,2290
759446261539934208,1577,457
759197388317847553,5744,1813
759159934323924993,0,1075
759099523532779520,13727,3853
759047813560868866,6120,1859
758854675097526272,3356,851
758828659922702336,10578,3579
758740312047005698,5412,1507
758474966123810816,3581,925
758467244762497024,4509,2041
758405701903519748,4907,1772
758355060040593408,3177,974
758099635764359168,17860,9220
758041019896193024,2549,344
757741869644341248,6461,3049
757729163776290825,0,7260
757725642876129280,4273,1119
757611664640446465,4320,1015
757597904299253760,0,283
757596066325864448,4098,965
757400162377592832,14236,6365
757393109802180609,5481,1591
757354760399941633,4239,1307
756998049151549440,5906,1847
756939218950160384,6265,1853
756651752796094464,4742,1200
756526248105566208,9771,3323
756303284449767430,3725,1017
756288534030475264,41521,16436
756275833623502848,6025,1418
755955933503782912,6869,2655
755206590534418437,15417,4943
755110668769038337,19893,10265
754874841593970688,0,7288
754856583969079297,6488,2322
754747087846248448,2431,481
754482103782404096,4974,1809
754449512966619136,3527,677
754120377874386944,7442,2183
753655901052166144,5490,2009
753420520834629632,7394,3260
753398408988139520,5396,1750
753375668877008896,7199,2151
753298634498793472,0,5253
753294487569522689,3148,965
753039830821511168,34837,19323
753026973505581056,3688,884
752932432744185856,11838,6343
752917284578922496,6545,1452
752701944171524096,0,2642
752682090207055872,5645,1472
752660715232722944,4107,1441
752568224206688256,5152,2104
752519690950500352,6904,3186
752334515931054080,3617,1015
752309394570878976,0,14978
752173152931807232,5581,1685
751950017322246144,2872,841
751937170840121344,4860,1209
751830394383790080,5468,1805
751793661361422336,5441,2646
751598357617971201,7471,2851
751583847268179968,4132,1011
751538714308972544,4756,1156
751456908746354688,3032,926
751251247299190784,11823,5431
751205363882532864,5944,1681
751132876104687617,4768,1195
750868782890057730,4497,1260
750719632563142656,12361,4621
750506206503038976,4171,1064
750429297815552001,12372,3950
750383411068534784,4293,1046
750381685133418496,673,27
750147208377409536,2938,880
750132105863102464,3400,1193
750117059602808832,4092,1219
750101899009982464,2865,779
750086836815486976,2041,496
750071704093859840,7308,3054
750056684286914561,2970,830
750041628174217216,2983,570
750026558547456000,2551,726
750011400160841729,3028,827
749996283729883136,2856,763
749981277374128128,4810,2290
749774190421639168,4386,1226
749417653287129088,5726,1523
749403093750648834,2458,495
749395845976588288,8006,3184
749317047558017024,5137,2061
749075273010798592,5396,1905
749064354620928000,4529,1423
749036806121881602,2899,733
748977405889503236,10110,3158
748932637671223296,5445,2077
748705597323898880,2606,884
748699167502000129,4447,1465
748692773788876800,3972,1236
748575535303884801,5679,1824
748568946752774144,2067,616
748346686624440324,4897,1134
748337862848962560,7110,3762
748324050481647620,3476,701
748307329658011649,3469,661
748220828303695873,13236,7177
747963614829678593,5425,1971
747933425676525569,6221,2372
747885874273214464,2738,885
747844099428986880,2651,681
747816857231626240,4526,1067
747651430853525504,1279,144
747648653817413632,12054,5368
747600769478692864,2183,524
747594051852075008,3447,956
747512671126323200,5165,1489
747461612269887489,3626,955
747439450712596480,5071,1762
747242308580548608,0,2662
747219827526344708,4929,1454
747204161125646336,3147,840
747103485104099331,8950,3656
746906459439529985,2743,272
746872823977771008,5615,1964
746818907684614144,4984,1610
746790600704425984,4544,1474
746757706116112384,8919,3580
746726898085036033,5674,1652
746542875601690625,4720,1757
746521445350707200,0,906
746507379341139972,4368,996
746369468511756288,5809,1501
746131877086527488,6437,2018
746056683365994496,3346,753
745789745784041472,3717,971
745712589599014916,6552,2148
745433870967832576,6593,2330
745422732645535745,7999,2215
745314880350101504,6648,2506
745074613265149952,7325,3209
745057283344719872,6811,2070
744995568523612160,2770,571
744971049620602880,7352,2461
744709971296780288,5258,1453
744334592493166593,6372,1951
744234799360020481,145663,71228
744223424764059648,1543,329
743980027717509120,3927,1012
743895849529389061,3427,888
743835915802583040,0,1884
743609206067040256,4187,1280
743595368194129920,17085,6004
743545585370791937,3301,869
743510151680958465,7458,3440
743253157753532416,3959,1130
743222593470234624,5780,1760
743210557239623680,3579,1248
742534281772302336,6603,3302
742528092657332225,4137,1806
742465774154047488,6802,3627
742423170473463808,9173,3460
742385895052087300,6338,1790
742161199639494656,4025,1255
742150209887731712,4754,1419
741793263812808706,4244,1393
741743634094141440,7602,2527
741438259667034112,3441,754
741303864243200000,8205,2953
741099773336379392,9301,5062
741067306818797568,8933,2834
740995100998766593,5876,2495
740711788199743490,3168,872
740699697422163968,2674,715
740676976021798912,16967,6259
740373189193256964,32839,12225
740365076218183684,2274,391
740359016048689152,3064,801
740214038584557568,6236,1799
739979191639244800,18644,5419
739932936087216128,3791,991
739844404073074688,3551,799
739623569819336705,3517,1248
739606147276148736,5033,1502
739544079319588864,36728,19409
739485634323156992,6640,2661
739238157791694849,107882,53252
738891149612572673,92,6
738885046782832640,3526,1054
738883359779196928,3065,726
